AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2024;2024-04;1/04/2024;1/04/2024;20552386931;HFP HYDRAULIC SOCIEDAD ANONIMA CERRADA - HFP HYDRAULIC S.A.C.;1;FACTURA;F001-00039419;USD;3.72;120.8;21.74;142.54;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-04;1/04/2024;1/04/2024;20601607167;FILMARG S.A.C.;1;FACTURA;F001-00039422;USD;3.72;96;17.28;113.28;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-04;1/04/2024;1/04/2024;20536628038;PERUVIAN HYDRAULIC GROUP S.A.C.;1;FACTURA;F001-00039423;USD;3.72;586.39;105.55;691.94;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-04;3/04/2024;3/04/2024;20556870218;INTEPETROL E.I.R.L.;1;FACTURA;F001-00039435;USD;3.71;268.32;48.3;316.62;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-04;4/04/2024;4/04/2024;10024489090;JOSE EDGAR ROMERO VALENCIA;1;FACTURA;F001-00039445;USD;3.69;5,962.50;1,073.25;7,035.75;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JOHNNY RAMOS
2024;2024-04;5/04/2024;5/04/2024;20526058578;COMERCIAL RAFAEL NORTE SOCIEDAD ANONIMA CERRADA;1;FACTURA;F001-00039454;USD;3.69;67.56;12.16;79.72;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-04;9/04/2024;9/04/2024;10441031349;RIVERO CONDORI JOUSEP ARNULFO;1;FACTURA;F001-00039471;USD;3.68;271.13;48.8;319.93;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-04;9/04/2024;8/06/2024;20607502979;GRUPO KAMSAC E.I.R.L.;1;FACTURA;F001-00039479;USD;3.68;277.5;49.95;327.45;0;0;0;CREDITO;Factura a 60 día;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-04;10/04/2024;10/04/2024;20551992722;CORPORACION MACMINING E.I.R.L.;1;FACTURA;F001-00039482;USD;3.69;38.4;6.91;45.31;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-04;11/04/2024;11/04/2024;20605520945;NEGOCIOS INKA E.I.R.L.;1;FACTURA;F001-00039487;USD;3.71;2,119.97;381.59;2,501.56;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-04;11/04/2024;11/04/2024;20479818241;DISTRIBUCIONES AGRICOLAS CORREA E.I.R.L.;1;FACTURA;F001-00039501;USD;3.71;1,203.22;216.58;1,419.80;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JUAN JAIME
2024;2024-04;12/04/2024;12/04/2024;20605901353;MINING PARTS COMPANY S.A.C.;1;FACTURA;F001-00039504;USD;3.71;465.03;83.71;548.74;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-04;15/04/2024;15/04/2024;20516133253;DISEÑO CARPINTERIA EBANISTERIA SERVICIOS Y ACABADOS S.R.L;1;FACTURA;F001-00039507;USD;3.71;328.77;59.18;387.95;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-04;15/04/2024;15/04/2024;10024489090;JOSE EDGAR ROMERO VALENCIA;1;FACTURA;F001-00039515;USD;3.71;5,962.50;1,073.25;7,035.75;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JOHNNY RAMOS
2024;2024-04;15/04/2024;15/04/2024;20605901353;MINING PARTS COMPANY S.A.C.;1;FACTURA;F001-00039523;USD;3.71;1,535.13;276.32;1,811.45;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
